trip_id,arrival_time,departure_time,stop_id,stop_sequence
001_1_0_22140,06:09:00,06:09:00,667,0
001_1_0_22140,06:10:00,06:10:00,228,1
001_1_0_22140,06:12:00,06:12:00,247,2
001_1_0_22140,06:13:00,06:13:00,789,3
001_1_0_22140,06:15:00,06:15:00,134,4
001_1_0_22140,06:17:00,06:17:00,134,5
001_1_0_22140,06:18:00,06:18:00,179,6
001_1_0_22140,06:19:00,06:19:00,178,7
001_1_0_22140,06:20:00,06:20:00,173,8
001_1_0_22140,06:21:00,06:21:00,172,9
001_1_0_22140,06:22:00,06:22:00,171,10
001_1_0_22140,06:24:00,06:24:00,170,11
001_1_0_22140,06:25:00,06:25:00,136,12
001_1_0_22140,06:26:00,06:26:00,135,13
001_1_0_22140,06:28:00,06:28:00,25,14
001_1_0_22140,06:31:00,06:31:00,24,15
001_1_0_22140,06:34:00,06:34:00,1,16
001_1_0_22140,06:36:00,06:36:00,0,17
001_1_0_22140,06:38:00,06:38:00,35,18
001_1_0_22140,06:39:00,06:39:00,37,19
001_1_0_22140,06:41:00,06:41:00,40,20
001_1_0_22140,06:42:00,06:42:00,484,21
001_1_0_22140,06:43:00,06:43:00,485,22
001_1_0_22140,06:45:00,06:45:00,489,23
001_1_0_22140,06:46:00,06:46:00,490,24
001_1_0_22140,06:48:00,06:48:00,509,25
001_1_0_22140,06:49:00,06:49:00,509,26
001_1_0_22140,06:52:00,06:52:00,516,27
001_1_0_22140,06:53:00,06:53:00,517,28
001_1_0_22140,06:55:00,06:55:00,633,29
001_1_0_22140,06:56:00,06:56:00,1869985,30
001_1_0_22140,06:58:00,06:58:00,635,31
001_1_0_22140,07:00:00,07:00:00,3234,32
001_1_0_22140,07:01:00,07:01:00,632,33
001_1_0_22140,07:02:00,07:02:00,631,34
001_1_0_22140,07:03:00,07:03:00,622,35
001_1_0_22740,06:19:00,06:19:00,667,0
001_1_0_22740,06:20:00,06:20:00,228,1
001_1_0_22740,06:22:00,06:22:00,247,2
001_1_0_22740,06:23:00,06:23:00,789,3
001_1_0_22740,06:25:00,06:25:00,134,4
001_1_0_22740,06:27:00,06:27:00,134,5
001_1_0_22740,06:28:00,06:28:00,179,6
001_1_0_22740,06:29:00,06:29:00,178,7
001_1_0_22740,06:30:00,06:30:00,173,8
001_1_0_22740,06:31:00,06:31:00,172,9
001_1_0_22740,06:32:00,06:32:00,171,10
001_1_0_22740,06:34:00,06:34:00,170,11
001_1_0_22740,06:35:00,06:35:00,136,12
001_1_0_22740,06:36:00,06:36:00,135,13
001_1_0_22740,06:38:00,06:38:00,25,14
001_1_0_22740,06:41:00,06:41:00,24,15
001_1_0_22740,06:44:00,06:44:00,1,16
001_1_0_22740,06:46:00,06:46:00,0,17
001_1_0_22740,06:48:00,06:48:00,35,18
001_1_0_22740,06:49:00,06:49:00,37,19
001_1_0_22740,06:51:00,06:51:00,40,20
001_1_0_22740,06:52:00,06:52:00,484,21
001_1_0_22740,06:53:00,06:53:00,485,22
001_1_0_22740,06:55:00,06:55:00,489,23
