stop_id,stop_name,stop_lat,stop_lon
667,Weiden West: Köln,49.8238,7.2980
622,Im Hoppenkamp: Bergisch Gladbach-Bensberg,51.4256,9.4633
228,Weiden Schulstr.: Köln,49.8238,7.2980
247,Weiden Zentrum: Köln,49.8238,7.2980
789,Bahnstr.: Köln-Weiden,50.8946,7.0578
134,Mohnweg: Köln-Junkersdorf,50.9379,6.8554
179,Rheinenergie-Stadion: Köln-Müngersdorf,50.9376,6.8746
178,Alter Militärring: Köln-Müngersdorf,50.9377,6.8818
173,Eupener Str.: Köln-Braunsfeld,50.9374,6.8893
172,Clarenbachstift: Köln-Braunsfeld,50.9373,6.8944
171,Maarweg: Köln-Braunsfeld,50.9372,6.8994
170,Aachener Str./Gürtel: Köln-Braunsfeld,50.9370,6.9086
136,Melaten: Köln-Lindenthal,50.9367,6.9168
135,Universitätsstr.: Köln-Lindenthal,50.9366,6.9247
25,Moltkestr.: Köln-Innenstadt,50.9355,6.9320
24,Rudolfplatz: Köln-Innenstadt,50.9357,6.9391
1,Neumarkt: Köln-Innenstadt,50.9356,6.9489
0,Heumarkt: Köln-Innenstadt,50.9357,6.9600
35,Deutzer Freiheit: Köln-Deutz,50.9366,6.9704
37,Bf Deutz / Messe  LANXESS arena: Köln,51.3952,7.0901
40,Deutz-Kalker Bad: Köln,50.9364,6.9862
484,Kalk Post: Köln,50.9372,6.9948
485,Kalk Kapelle: Köln,50.9372,6.9948
489,Fuldaer Str.: Köln-Höhenberg,50.9415,7.0226
490,Höhenberg Frankfurter Str.: Köln,50.9415,7.0226
509,Kalker Friedhof: Köln-Merheim,50.9364,6.9862
516,Flehbachstr.: Köln-Brück,50.9476,7.0727
517,Brück Mauspfad: Köln,50.9829,7.5408
633,Lustheide: Bergisch Gladbach-Refrath,50.9516,7.1026
1869985,Wilhelm-Klein-Straße 1: 51427 Bergisch Gladbach (Refrath),50.9920,6.9412
635,Kippekausen: Bergisch Gladbach-Frankenforst,50.9567,7.1298
3234,Burgplatz: Bergisch Gladbach-Frankenforst,50.9571,7.1255
632,Neuenweg: Bergisch Gladbach-Lückerath,50.9633,7.1426
631,Kölner Str.: Bergisch Gladbach-Bensberg,50.9314,6.8575
1268547,Johann-Bensberg-Str. 1: 51067 Köln (Holweide),50.9625,7.1495
283,Ollenhauerring: Köln-Bocklemünd,50.9759,6.8712
563,Dellbrück Hauptstr.: Köln,51.7766,8.6324
229,Schaffrathsgasse: Köln-Bocklemünd,50.9715,6.8702
268,Westfriedhof: Köln-Vogelsang,50.9674,6.8785
267,Wolffsohnstr.: Köln-Vogelsang,50.9651,6.8846
250,Akazienweg: Köln-Bickendorf,50.9612,6.8928
248,Äußere Kanalstr.: Köln-Bickendorf,50.9570,6.9020
241,Leyendeckerstr.: Köln-Ehrenfeld,50.9544,6.9100
237,Venloer Str./Gürtel: Köln-Ehrenfeld,50.9501,6.9168
224,Körnerstr.: Köln-Ehrenfeld,50.9483,6.9203
223,Piusstr.: Köln-Ehrenfeld,50.9460,6.9258
28,Hans-Böckler-Platz/Bf West: Köln-Innenstadt,50.9440,6.9344
27,Friesenplatz: Köln-Innenstadt,50.9405,6.9400
6,Appellhofplatz: Köln-Innenstadt,50.9400,6.9505
2,Poststr.: Köln-Innenstadt,50.9312,6.9501
9,Severinstr.: Köln-Innenstadt,50.9291,6.9569
36,Suevenstr.: Köln-Deutz,50.9330,6.9767
38,Koelnmesse: Köln-Deutz,50.9428,6.9817
537,Stegerwaldsiedlung: Köln-Mülheim,50.9482,6.9929
539,Buchforst Waldecker Str.: Köln,50.9510,7.0050
545,Buchheim Frankfurter Str.: Köln,50.9531,7.0141
546,Buchheim Herler Str.: Köln,50.9531,7.0141
547,Wichheimer Str.: Köln-Buchheim,50.9615,7.0313
551,Holweide Vischeringstr.: Köln,50.9584,7.0411
552,Maria-Himmelfahrt-Str.: Köln-Holweide,50.9679,7.0453
553,Neufelder Str. (Krankenhaus Holweide): Köln,50.9695,7.0556
562,Dellbrück Mauspfad: Köln,51.7766,8.6324
564,Thielenbruch: Köln-Dellbrück,50.9780,7.0855
577,Odenthaler Str.: Köln-Dünnwald,51.0013,7.0424
6460,P&R Köln-Schlebusch (Stadtbahn),50.8029,6.7876
852,Sparkasse Am Butzweilerhof: Köln-Ossendorf,50.9853,6.8875
31,Ebertplatz: Köln-Innenstadt,50.9506,6.9588
863,IKEA Am Butzweilerhof: Köln-Ossendorf,50.8610,6.9744
260,Alter Flughafen Butzweilerhof: Köln-Ossendorf,50.9377,6.8818
258,Rektor-Klein-Str.: Köln-Ossendorf,50.9742,6.9047
259,Margaretastr.: Köln-Ossendorf,50.9682,6.9056
235,Iltisstr.: Köln-Neuehrenfeld,50.9652,6.9121
234,Lenauplatz: Köln-Neuehrenfeld,50.9585,6.9184
233,Nußbaumerstr.: Köln-Neuehrenfeld,50.9570,6.9236
232,Subbelrather Str./Gürtel: Köln-Neuehrenfeld,50.9547,6.9213
226,Liebigstr.: Köln-Ehrenfeld,50.9523,6.9242
225,Gutenbergstr.: Köln-Ehrenfeld,50.9503,6.9283
7,Dom / Hbf: Köln-Innenstadt,50.9429,6.9586
8,Breslauer Platz/Hbf: Köln-Innenstadt,50.9443,6.9587
1291538,Ebertplatz 1: 50668 Köln (Neustadt-Nord),50.9506,6.9588
30,Reichenspergerplatz: Köln-Innenstadt,50.9540,6.9643
1291540,Ebertplatz 3: 50668 Köln (Neustadt-Nord),50.9506,6.9588
673,Frechen-Benzelrath,50.9041,6.7971
215,Rosenhügel: Köln-Zündorf,50.8741,7.0601
674,Mühlengasse: Frechen-Mitte,50.9082,6.8019
675,Frechen Rathaus,50.9115,6.8227
676,Frechen Kirche,50.9115,6.8227
7382,Königsdorf Bf: Frechen,50.9426,6.7567
678,Haus Vorst: Köln-Marsdorf,51.2660,6.7615
221,Stüttgenhof: Köln-Marsdorf,50.9200,6.8766
164,Brahmsstr.: Köln-Lindenthal,50.9259,6.8983
162,Dürener Str./Gürtel: Köln-Lindenthal,50.9277,6.9089
161,Wüllnerstr.: Köln-Lindenthal,50.9312,6.9080
41,Severinsbrücke: Köln-Deutz,50.9304,6.9725
42,Drehbrücke: Köln-Deutz,50.9284,6.9750
43,Poller Kirchweg: Köln-Deutz,50.9236,6.9801
425,Raiffeisenstr.: Köln-Poll,50.9200,6.9860
419,Poll Salmstr.: Köln,50.9160,6.9928
420,Baumschulenweg: Köln-Poll,50.9148,7.0000
430,Westhoven Kölner Str.: Köln,50.9067,7.0148
431,Westhoven Berliner Str.: Köln,50.9067,7.0148
432,Ensen Gilgaustr.: Köln,50.8995,7.0312
433,Ensen Kloster: Köln,50.8995,7.0312
447,Porz Steinstr.: Köln,50.8915,7.0692
448,Porz Markt: Köln,50.8915,7.0692
1257192,Mühlengasse 1: 50999 Köln (Sürth),50.9082,6.8019
158,Sülz Hermeskeiler Platz: Köln,50.9215,6.9336
525,Röttgensweg: Köln-Rath/Heumar,50.9202,7.0906
157,Mommsenstr.: Köln-Sülz,50.9191,6.9104
156,Zülpicher Str./Gürtel: Köln-Sülz,50.9311,6.9408
147,Lindenburg (Universitätskliniken): Köln-Sülz,50.9222,6.9217
146,Weyertal: Köln-Sülz,50.9240,6.9270
145,Universität: Köln-Sülz,50.9258,6.9310
22,Dasselstr./Bf Süd: Köln-Innenstadt,50.9284,6.9360
21,Zülpicher Platz: Köln-Innenstadt,50.9311,6.9408
3,Mauritiuskirche: Köln-Innenstadt,50.9342,6.9451
493,Vingst: Köln,50.9328,7.0217
249,Alter Deutzer Postweg: Köln-Ostheim,50.9377,6.8818
504,Autobahn (Stadtbahn): Köln-Ostheim,50.9271,7.0538
523,Steinweg: Köln-Rath/Heumar,50.9236,7.0668
524,Porzer Str.: Köln-Rath/Heumar,50.9216,7.0751
527,Königsforst: Köln-Rath/Heumar,50.9197,7.0969
50,Zollstock Südfriedhof: Köln,50.9164,6.9415
398,Merkenich Mitte: Köln,51.0244,6.9530
49,Zollstockgürtel: Köln-Zollstock,50.9052,6.9422
48,Gottesweg: Köln-Zollstock,50.9103,6.9416
47,Herthastr.: Köln-Zollstock,50.9129,6.9408
46,Pohligstr.: Köln-Zollstock,50.9164,6.9415
18,Eifelplatz: Köln-Innenstadt,50.9233,6.9435
19,Eifelstr.: Köln-Innenstadt,50.9266,6.9457
20,Barbarossaplatz: Köln-Innenstadt,50.9286,6.9428
29,Christophstr./Mediapark: Köln-Innenstadt,50.9447,6.9425
32,Hansaring: Köln-Innenstadt,50.9490,6.9524
1291539,Ebertplatz 2: 50668 Köln (Neustadt-Nord),50.9506,6.9588
290,Lohsestr.: Köln-Nippes,50.9581,6.9553
289,Florastr.: Köln-Nippes,50.9650,6.9537
288,Neusser Str./Gürtel: Köln-Nippes,50.9723,6.9514
318,Mollwitzstr.: Köln-Weidenpesch,50.9782,6.9488
319,Scheibenstr.: Köln-Weidenpesch,50.9857,6.9463
344,Wilhelm-Sollmann-Str.: Köln-Longerich,50.9920,6.9412
324,Niehl: Köln,50.9948,6.9557
349,Geestemünder Str.: Köln-Niehl,51.0019,6.9553
350,Fordwerke Süd: Köln-Niehl,51.0058,6.9554
351,Fordwerke Mitte: Köln-Niehl,51.0058,6.9554
352,Fordwerke Nord: Köln-Niehl,51.0058,6.9554
1291541,Ebertplatz 4: 50668 Köln (Neustadt-Nord),50.9506,6.9588
152,Sülzgürtel: Köln-Klettenberg,50.9123,6.9240
154,Berrenrather Str./Gürtel: Köln-Sülz,50.9170,6.9237
542,Bf Mülheim: Köln,51.3952,7.0901
540,Mülheim Wiener Platz: Köln-Mitte,50.4488,6.6838
300,Slabystr.: Köln-Riehl,50.9666,6.9882
302,Amsterdamer Str./Gürtel: Köln-Riehl,50.9708,6.9691
308,Geldernstr./Parkgürtel: Köln-Bilderstöckchen,50.9685,6.9413
309,Escher Str.: Köln-Bilderstöckchen,50.9645,6.9338
240,Weinsbergstr./Gürtel: Köln-Ehrenfeld,50.9451,6.9128
174,Oskar-Jäger-Str./Gürtel: Köln-Braunsfeld,50.9398,6.9110
165,Gleueler Str./Gürtel: Köln-Lindenthal,50.9238,6.9123
155,Euskirchener Str.: Köln-Sülz,50.9180,6.9167
14,Ubierring: Köln-Innenstadt,50.9224,6.9655
366,Heimersdorf: Köln,51.0121,6.9069
15,Chlodwigplatz: Köln-Innenstadt,50.9212,6.9604
16,Ulrepforte: Köln-Innenstadt,50.9239,6.9521
345,Altonaer Platz: Köln-Longerich,50.9938,6.9334
346,Herforder Str.: Köln-Longerich,50.9946,6.9262
337,Meerfeldstr.: Köln-Longerich,50.9950,6.9208
317,Longericher Str. Nord: Köln-Bilderstöckchen,50.9834,6.9134
367,Chorweiler: Köln,51.0211,6.8980
353,Bad Godesberg Stadthalle: Bonn,50.6581,7.2100
777,Nesselrodestr.: Köln-Niehl,50.9769,6.9689
153,Bad Godesberg Bf: Bonn,50.6581,7.2100
666,Plittersdorfer Str.: Bonn-Bad Godesberg,50.6878,7.1539
665,Wurzerstr.: Bonn-Plittersdorf,50.6915,7.1480
664,Hochkreuz/Deutsches Museum Bonn,50.6967,7.1415
663,Max-Löbner-Str./Friesdorf: Bonn,50.7008,7.1375
655,Dt. Telekom/Olof-Palme-Allee: Bonn-Gronau,50.7068,7.1311
656,Dt. Telekom/Ollenhauerstr.: Bonn-Gronau,50.7068,7.1311
657,Heussallee/Museumsmeile: Bonn-Gronau,50.7167,7.1206
648,Museum Koenig: Bonn-Innenstadt,50.7217,7.1146
649,Bundesrechnungshof/Auswärtiges Amt: Bonn-Innenstadt,50.7255,7.1116
650,Juridicum: Bonn-Innenstadt,50.7301,7.1085
651,Universität/Markt: Bonn-Innenstadt,50.7323,7.1022
843,Parkhaus Hauptbahnhof: Köln,50.5574,6.2401
39,Propsthof Nord: Bonn-Innenstadt,50.7391,7.0735
658,Tannenbusch Süd: Bonn,50.7423,7.0556
659,Tannenbusch Mitte: Bonn,50.7423,7.0556
660,Buschdorf: Bonn,50.7580,7.0466
643,Hersel: Bornheim,50.7700,7.0428
644,Uedorf: Bornheim-Hersel,50.7816,7.0319
645,Widdig: Bornheim-Hersel,50.7911,7.0226
1634908,Schmiedegasse 1: 50389 Wesseling (Urfeld),50.9771,6.9358
705,Wesseling Süd,50.8226,6.9800
117,Wesselinger Str.: Köln-Sürth,50.8603,7.0046
707,Wesseling Nord,50.8226,6.9800
126,Godorf Bf: Köln,50.8475,6.9786
116,Sürth Bf: Köln,50.8641,7.0035
100,Michaelshoven: Köln-Rodenkirchen,50.8762,6.9989
99,Siegstr. (Stadtbahn): Köln-Rodenkirchen,50.8833,6.9947
98,Rodenkirchen Bf: Köln,50.8909,6.9901
846,Heinrich-Lübke-Ufer: Köln-Marienburg,50.8999,6.9848
69,Bayenthalgürtel: Köln-Marienburg,50.9069,6.9778
