route_id,service_id,trip_id
001_1,0,001_1_0_22140
001_1,0,001_1_0_22740
001_1,0,001_1_0_23340
003_1,0,003_1_0_22080
003_1,0,003_1_0_22680
003_1,0,003_1_0_23280
003_2,0,003_2_0_21780
003_2,0,003_2_0_22380
003_2,0,003_2_0_22980
003_2,0,003_2_0_23580
003_2,0,003_2_0_24180
005_1,0,005_1_0_22020
005_1,0,005_1_0_22620
005_1,0,005_1_0_23220
005_2,0,005_2_0_21900
005_2,0,005_2_0_23100
005_2,0,005_2_0_23700
005_2,0,005_2_0_24300
005_2,0,005_2_0_24900
007_1,0,007_1_0_21900
007_1,0,007_1_0_23100
007_1,0,007_1_0_24300
007_1,0,007_1_0_24900
007_1,0,007_1_0_25500
009_1,0,009_1_0_21660
009_1,0,009_1_0_22260
009_1,0,009_1_0_22860
009_1,0,009_1_0_23460
009_1,0,009_1_0_24060
009_2,0,009_2_0_21900
009_2,0,009_2_0_22500
009_2,0,009_2_0_23100
009_2,0,009_2_0_23700
009_2,0,009_2_0_24300
012_1,0,012_1_0_21720
012_1,0,012_1_0_22320
012_1,0,012_1_0_22920
012_1,0,012_1_0_23520
012_1,0,012_1_0_24120
012_2,0,012_2_0_22020
012_2,0,012_2_0_22620
012_2,0,012_2_0_23220
012_2,0,012_2_0_23820
012_2,0,012_2_0_24420
013_2,0,013_2_0_21660
013_2,0,013_2_0_22260
013_2,0,013_2_0_22860
013_2,0,013_2_0_23460
013_2,0,013_2_0_24060
015_1,0,015_1_0_21660
015_1,0,015_1_0_22260
015_1,0,015_1_0_22860
015_1,0,015_1_0_23460
015_1,0,015_1_0_24060
015_2,0,015_2_0_21900
015_2,0,015_2_0_22500
015_2,0,015_2_0_23100
016_1,0,016_1_0_22140
016_1,0,016_1_0_23340
016_2,0,016_2_0_22080
016_2,0,016_2_0_22680
016_2,0,016_2_0_23880
018_1,0,018_1_0_22260
018_2,0,018_2_0_22020
106_1,0,106_1_0_22020
106_1,0,106_1_0_23220
106_1,0,106_1_0_24420
106_1,0,106_1_0_25020
106_1,0,106_1_0_25620
106_2,0,106_2_0_22680
106_2,0,106_2_0_23880
106_2,0,106_2_0_25080
106_2,0,106_2_0_25680
106_2,0,106_2_0_26280
120_2,0,120_2_0_22500
120_2,0,120_2_0_23700
120_2,0,120_2_0_24900
121_1,0,121_1_0_22380
121_1,0,121_1_0_23580
121_2,0,121_2_0_22740
121_2,0,121_2_0_23940
122_0,0,122_0_0_21720
122_0,0,122_0_0_22920
122_0,0,122_0_0_24120
125_2,0,125_2_0_21720
125_2,0,125_2_0_23520
125_2,0,125_2_0_25320
126_1,0,126_1_0_23160
126_1,0,126_1_0_24960
126_2,0,126_2_0_22740
126_2,0,126_2_0_24540
127_1,0,127_1_0_21900
127_1,0,127_1_0_22500
132_1,0,132_1_0_22080
132_1,0,132_1_0_23640
132_1,0,132_1_0_24240
132_2,0,132_2_0_22380
132_2,0,132_2_0_23580
133_1,0,133_1_0_22560
133_2,0,133_2_0_22080
